Section: 202, Row: 7, Price: $78 ALL-IN, URL: https://www.tickpick.com/buy-phoenix-suns-vs-utah-jazz-tickets-footprint-center-1-11-25-3pm/6634421/?qty=2-false
Section: 226, Row: 12, Price: $43 ALL-IN, URL: https://www.tickpick.com/buy-phoenix-suns-vs-utah-jazz-tickets-footprint-center-1-11-25-3pm/6634421/?qty=2-false
Section: 211, Row: 7, Price: $46 ALL-IN, URL: https://www.tickpick.com/buy-phoenix-suns-vs-utah-jazz-tickets-footprint-center-1-11-25-3pm/6634421/?qty=2-false
Section: 222, Row: 13, Price: $58 ALL-IN, URL: https://www.tickpick.com/buy-phoenix-suns-vs-utah-jazz-tickets-footprint-center-1-11-25-3pm/6634421/?qty=2-false
Section: 230, Row: 14, Price: $47 ALL-IN, URL: https://www.tickpick.com/buy-phoenix-suns-vs-utah-jazz-tickets-footprint-center-1-11-25-3pm/6634421/?qty=2-false
Section: 231, Row: 5, Price: $71 ALL-IN, URL: https://www.tickpick.com/buy-phoenix-suns-vs-utah-jazz-tickets-footprint-center-1-11-25-3pm/6634421/?qty=2-false
Section: 203, Row: 12, Price: $72 ALL-IN, URL: https://www.tickpick.com/buy-phoenix-suns-vs-utah-jazz-tickets-footprint-center-1-11-25-3pm/6634421/?qty=2-false
Section: 227, Row: 11, Price: $38 ALL-IN, URL: https://www.tickpick.com/buy-phoenix-suns-vs-utah-jazz-tickets-footprint-center-1-11-25-3pm/6634421/?qty=2-false
Section: 232, Row: 12, Price: $60 ALL-IN, URL: https://www.tickpick.com/buy-phoenix-suns-vs-utah-jazz-tickets-footprint-center-1-11-25-3pm/6634421/?qty=2-false
Section: 110, Row: 24, Price: $124 ALL-IN, URL: https://www.tickpick.com/buy-phoenix-suns-vs-utah-jazz-tickets-footprint-center-1-11-25-3pm/6634421/?qty=2-false
Section: 212, Row: 14, Price: $40 ALL-IN, URL: https://www.tickpick.com/buy-phoenix-suns-vs-utah-jazz-tickets-footprint-center-1-11-25-3pm/6634421/?qty=2-false
Section: 223, Row: 14, Price: $52 ALL-IN, URL: https://www.tickpick.com/buy-phoenix-suns-vs-utah-jazz-tickets-footprint-center-1-11-25-3pm/6634421/?qty=2-false
Section: 220, Row: 14, Price: $64 ALL-IN, URL: https://www.tickpick.com/buy-phoenix-suns-vs-utah-jazz-tickets-footprint-center-1-11-25-3pm/6634421/?qty=2-false
Section: 202, Row: 12, Price: $69 ALL-IN, URL: https://www.tickpick.com/buy-phoenix-suns-vs-utah-jazz-tickets-footprint-center-1-11-25-3pm/6634421/?qty=2-false
Section: 217, Row: 12, Price: $65 ALL-IN, URL: https://www.tickpick.com/buy-phoenix-suns-vs-utah-jazz-tickets-footprint-center-1-11-25-3pm/6634421/?qty=2-false
Section: 201, Row: 12, Price: $65 ALL-IN, URL: https://www.tickpick.com/buy-phoenix-suns-vs-utah-jazz-tickets-footprint-center-1-11-25-3pm/6634421/?qty=2-false
Section: 227, Row: 9, Price: $43 ALL-IN, URL: https://www.tickpick.com/buy-phoenix-suns-vs-utah-jazz-tickets-footprint-center-1-11-25-3pm/6634421/?qty=2-false
Section: 215, Row: 8, Price: $66 ALL-IN, URL: https://www.tickpick.com/buy-phoenix-suns-vs-utah-jazz-tickets-footprint-center-1-11-25-3pm/6634421/?qty=2-false
Section: 203, Row: 10, Price: $79 ALL-IN, URL: https://www.tickpick.com/buy-phoenix-suns-vs-utah-jazz-tickets-footprint-center-1-11-25-3pm/6634421/?qty=2-false
Section: 232, Row: 14, Price: $57 ALL-IN, URL: https://www.tickpick.com/buy-phoenix-suns-vs-utah-jazz-tickets-footprint-center-1-11-25-3pm/6634421/?qty=2-false
Section: 223, Row: 6, Price: $71 ALL-IN, URL: https://www.tickpick.com/buy-phoenix-suns-vs-utah-jazz-tickets-footprint-center-1-11-25-3pm/6634421/?qty=2-false
Section: 110, Row: 27, Price: $124 ALL-IN, URL: https://www.tickpick.com/buy-phoenix-suns-vs-utah-jazz-tickets-footprint-center-1-11-25-3pm/6634421/?qty=2-false
Section: 221, Row: 10, Price: $71 ALL-IN, URL: https://www.tickpick.com/buy-phoenix-suns-vs-utah-jazz-tickets-footprint-center-1-11-25-3pm/6634421/?qty=2-false
Section: 215, Row: 8, Price: $67 ALL-IN, URL: https://www.tickpick.com/buy-phoenix-suns-vs-utah-jazz-tickets-footprint-center-1-11-25-3pm/6634421/?qty=2-false
Section: 212, Row: 7, Price: $56 ALL-IN, URL: https://www.tickpick.com/buy-phoenix-suns-vs-utah-jazz-tickets-footprint-center-1-11-25-3pm/6634421/?qty=2-false
Section: 204, Row: 8, Price: $81 ALL-IN, URL: https://www.tickpick.com/buy-phoenix-suns-vs-utah-jazz-tickets-footprint-center-1-11-25-3pm/6634421/?qty=2-false
Section: 217, Row: 14, Price: $62 ALL-IN, URL: https://www.tickpick.com/buy-phoenix-suns-vs-utah-jazz-tickets-footprint-center-1-11-25-3pm/6634421/?qty=2-false
Section: 225, Row: 10, Price: $58 ALL-IN, URL: https://www.tickpick.com/buy-phoenix-suns-vs-utah-jazz-tickets-footprint-center-1-11-25-3pm/6634421/?qty=2-false
Section: 215, Row: 10, Price: $63 ALL-IN, URL: https://www.tickpick.com/buy-phoenix-suns-vs-utah-jazz-tickets-footprint-center-1-11-25-3pm/6634421/?qty=2-false
Section: 224, Row: 14, Price: $50 ALL-IN, URL: https://www.tickpick.com/buy-phoenix-suns-vs-utah-jazz-tickets-footprint-center-1-11-25-3pm/6634421/?qty=2-false
Section: 205, Row: 13, Price: $65 ALL-IN, URL: https://www.tickpick.com/buy-phoenix-suns-vs-utah-jazz-tickets-footprint-center-1-11-25-3pm/6634421/?qty=2-false
Section: 221, Row: 13, Price: $65 ALL-IN, URL: https://www.tickpick.com/buy-phoenix-suns-vs-utah-jazz-tickets-footprint-center-1-11-25-3pm/6634421/?qty=2-false
Section: 201, Row: 13, Price: $65 ALL-IN, URL: https://www.tickpick.com/buy-phoenix-suns-vs-utah-jazz-tickets-footprint-center-1-11-25-3pm/6634421/?qty=2-false
Section: 217, Row: 9, Price: $75 ALL-IN, URL: https://www.tickpick.com/buy-phoenix-suns-vs-utah-jazz-tickets-footprint-center-1-11-25-3pm/6634421/?qty=2-false
Section: 201, Row: 5, Price: $85 ALL-IN, URL: https://www.tickpick.com/buy-phoenix-suns-vs-utah-jazz-tickets-footprint-center-1-11-25-3pm/6634421/?qty=2-false
Section: 210, Row: 14, Price: $42 ALL-IN, URL: https://www.tickpick.com/buy-phoenix-suns-vs-utah-jazz-tickets-footprint-center-1-11-25-3pm/6634421/?qty=2-false
Section: 223, Row: 7, Price: $71 ALL-IN, URL: https://www.tickpick.com/buy-phoenix-suns-vs-utah-jazz-tickets-footprint-center-1-11-25-3pm/6634421/?qty=2-false
Section: 224, Row: 15, Price: $46 ALL-IN, URL: https://www.tickpick.com/buy-phoenix-suns-vs-utah-jazz-tickets-footprint-center-1-11-25-3pm/6634421/?qty=2-false
Section: 202, Row: 11, Price: $75 ALL-IN, URL: https://www.tickpick.com/buy-phoenix-suns-vs-utah-jazz-tickets-footprint-center-1-11-25-3pm/6634421/?qty=2-false
Section: 232, Row: 9, Price: $71 ALL-IN, URL: https://www.tickpick.com/buy-phoenix-suns-vs-utah-jazz-tickets-footprint-center-1-11-25-3pm/6634421/?qty=2-false
Section: 212, Row: 2, Price: $68 ALL-IN, URL: https://www.tickpick.com/buy-phoenix-suns-vs-utah-jazz-tickets-footprint-center-1-11-25-3pm/6634421/?qty=2-false
Section: 204, Row: 12, Price: $73 ALL-IN, URL: https://www.tickpick.com/buy-phoenix-suns-vs-utah-jazz-tickets-footprint-center-1-11-25-3pm/6634421/?qty=2-false
Section: 211, Row: 11, Price: $41 ALL-IN, URL: https://www.tickpick.com/buy-phoenix-suns-vs-utah-jazz-tickets-footprint-center-1-11-25-3pm/6634421/?qty=2-false
