Date: 02-27-2025, Home Team: Suns, Away Team: Pelicans, Section: 230, Row: 14, Price: $19, Est. Price: $19, URL: https://www.tickpick.com/buy-phoenix-suns-vs-new-orleans-pelicans-tickets-footprint-center-2-27-25-8pm/6634468/?qty=2-false
Date: 02-27-2025, Home Team: Suns, Away Team: Pelicans, Section: 219, Row: 14, Price: $27, Est. Price: $27, URL: https://www.tickpick.com/buy-phoenix-suns-vs-new-orleans-pelicans-tickets-footprint-center-2-27-25-8pm/6634468/?qty=2-false
Date: 02-27-2025, Home Team: Suns, Away Team: Pelicans, Section: 203, Row: 8, Price: $33, Est. Price: $33, URL: https://www.tickpick.com/buy-phoenix-suns-vs-new-orleans-pelicans-tickets-footprint-center-2-27-25-8pm/6634468/?qty=2-false
Date: 02-27-2025, Home Team: Suns, Away Team: Pelicans, Section: 203, Row: 7, Price: $34, Est. Price: $34, URL: https://www.tickpick.com/buy-phoenix-suns-vs-new-orleans-pelicans-tickets-footprint-center-2-27-25-8pm/6634468/?qty=2-false
Date: 02-27-2025, Home Team: Suns, Away Team: Pelicans, Section: 219, Row: 7, Price: $34, Est. Price: $34, URL: https://www.tickpick.com/buy-phoenix-suns-vs-new-orleans-pelicans-tickets-footprint-center-2-27-25-8pm/6634468/?qty=2-false
Date: 02-27-2025, Home Team: Suns, Away Team: Pelicans, Section: 217, Row: 14, Price: $24, Est. Price: $24, URL: https://www.tickpick.com/buy-phoenix-suns-vs-new-orleans-pelicans-tickets-footprint-center-2-27-25-8pm/6634468/?qty=2-false
Date: 02-27-2025, Home Team: Suns, Away Team: Pelicans, Section: 217, Row: 13, Price: $25, Est. Price: $25, URL: https://www.tickpick.com/buy-phoenix-suns-vs-new-orleans-pelicans-tickets-footprint-center-2-27-25-8pm/6634468/?qty=2-false
Date: 02-27-2025, Home Team: Suns, Away Team: Pelicans, Section: 230, Row: 4, Price: $28, Est. Price: $28, URL: https://www.tickpick.com/buy-phoenix-suns-vs-new-orleans-pelicans-tickets-footprint-center-2-27-25-8pm/6634468/?qty=2-false
Date: 02-27-2025, Home Team: Suns, Away Team: Pelicans, Section: 231, Row: 5, Price: $29, Est. Price: $29, URL: https://www.tickpick.com/buy-phoenix-suns-vs-new-orleans-pelicans-tickets-footprint-center-2-27-25-8pm/6634468/?qty=2-false
Date: 02-27-2025, Home Team: Suns, Away Team: Pelicans, Section: 215, Row: 5, Price: $29, Est. Price: $29, URL: https://www.tickpick.com/buy-phoenix-suns-vs-new-orleans-pelicans-tickets-footprint-center-2-27-25-8pm/6634468/?qty=2-false
