Date: 02-27-2025, Home Team: Suns, Away Team: Pelicans, Section: 230, Row: 2, Price: $19, Est. Price: $34.20, URL: https://www.stubhub.com/phoenix-suns-phoenix-tickets-2-27-2025/event/154770118/?quantity=2&listingId=7809314074
Date: 02-27-2025, Home Team: Suns, Away Team: Pelicans, Section: 219, Row: 12, Price: $19, Est. Price: $34.20, URL: https://www.stubhub.com/phoenix-suns-phoenix-tickets-2-27-2025/event/154770118/?quantity=2&listingId=7807548141
Date: 02-27-2025, Home Team: Suns, Away Team: Pelicans, Section: 221, Row: 7, Price: $19, Est. Price: $34.20, URL: https://www.stubhub.com/phoenix-suns-phoenix-tickets-2-27-2025/event/154770118/?quantity=2&listingId=8443554797
Date: 02-27-2025, Home Team: Suns, Away Team: Pelicans, Section: 224, Row: 4, Price: $19, Est. Price: $34.20, URL: https://www.stubhub.com/phoenix-suns-phoenix-tickets-2-27-2025/event/154770118/?quantity=2&listingId=7804197317
Date: 02-27-2025, Home Team: Suns, Away Team: Pelicans, Section: 210, Row: 3, Price: $19, Est. Price: $34.20, URL: https://www.stubhub.com/phoenix-suns-phoenix-tickets-2-27-2025/event/154770118/?quantity=2&listingId=7817004503
Date: 02-27-2025, Home Team: Suns, Away Team: Pelicans, Section: 226, Row: 9, Price: $19, Est. Price: $34.20, URL: https://www.stubhub.com/phoenix-suns-phoenix-tickets-2-27-2025/event/154770118/?quantity=2&listingId=7817004336
Date: 02-27-2025, Home Team: Suns, Away Team: Pelicans, Section: 211, Row: 7, Price: $19, Est. Price: $34.20, URL: https://www.stubhub.com/phoenix-suns-phoenix-tickets-2-27-2025/event/154770118/?quantity=2&listingId=8547109675
Date: 02-27-2025, Home Team: Suns, Away Team: Pelicans, Section: 204, Row: 9, Price: $20, Est. Price: $36.00, URL: https://www.stubhub.com/phoenix-suns-phoenix-tickets-2-27-2025/event/154770118/?quantity=2&listingId=8463979335
Date: 02-27-2025, Home Team: Suns, Away Team: Pelicans, Section: 216, Row: 8, Price: $20, Est. Price: $36.00, URL: https://www.stubhub.com/phoenix-suns-phoenix-tickets-2-27-2025/event/154770118/?quantity=2&listingId=8271076382
Date: 02-27-2025, Home Team: Suns, Away Team: Pelicans, Section: 201, Row: 8, Price: $20, Est. Price: $36.00, URL: https://www.stubhub.com/phoenix-suns-phoenix-tickets-2-27-2025/event/154770118/?quantity=2&listingId=7807548387
Date: 02-27-2025, Home Team: Suns, Away Team: Pelicans, Section: 201, Row: 6, Price: $20, Est. Price: $36.00, URL: https://www.stubhub.com/phoenix-suns-phoenix-tickets-2-27-2025/event/154770118/?quantity=2&listingId=7807548103
Date: 02-27-2025, Home Team: Suns, Away Team: Pelicans, Section: 219, Row: 13, Price: $20, Est. Price: $36.00, URL: https://www.stubhub.com/phoenix-suns-phoenix-tickets-2-27-2025/event/154770118/?quantity=2&listingId=7842831621
Date: 02-27-2025, Home Team: Suns, Away Team: Pelicans, Section: 206, Row: 11, Price: $21, Est. Price: $37.80, URL: https://www.stubhub.com/phoenix-suns-phoenix-tickets-2-27-2025/event/154770118/?quantity=2&listingId=7804193482
Date: 02-27-2025, Home Team: Suns, Away Team: Pelicans, Section: 217, Row: 7, Price: $21, Est. Price: $37.80, URL: https://www.stubhub.com/phoenix-suns-phoenix-tickets-2-27-2025/event/154770118/?quantity=2&listingId=7807562901
Date: 02-27-2025, Home Team: Suns, Away Team: Pelicans, Section: 201, Row: 7, Price: $21, Est. Price: $37.80, URL: https://www.stubhub.com/phoenix-suns-phoenix-tickets-2-27-2025/event/154770118/?quantity=2&listingId=7807548184
Date: 02-27-2025, Home Team: Suns, Away Team: Pelicans, Section: 228, Row: 4, Price: $21, Est. Price: $37.80, URL: https://www.stubhub.com/phoenix-suns-phoenix-tickets-2-27-2025/event/154770118/?quantity=2&listingId=7932831225
