Date: 03-19-2025, Home Team: Suns, Away Team: Bulls, Section: 218, Row: 11, Price: $27, Est. Price: $43.20, URL: https://www.stubhub.com/phoenix-suns-phoenix-tickets-3-19-2025/event/154770092/?quantity=2&listingId=7804224444
Date: 03-19-2025, Home Team: Suns, Away Team: Bulls, Section: 223, Row: 6, Price: $27, Est. Price: $43.20, URL: https://www.stubhub.com/phoenix-suns-phoenix-tickets-3-19-2025/event/154770092/?quantity=2&listingId=8417755009
Date: 03-19-2025, Home Team: Suns, Away Team: Bulls, Section: 216, Row: 8, Price: $27, Est. Price: $43.20, URL: https://www.stubhub.com/phoenix-suns-phoenix-tickets-3-19-2025/event/154770092/?quantity=2&listingId=7804326082
Date: 03-19-2025, Home Team: Suns, Away Team: Bulls, Section: 228, Row: 4, Price: $28, Est. Price: $44.80, URL: https://www.stubhub.com/phoenix-suns-phoenix-tickets-3-19-2025/event/154770092/?quantity=2&listingId=8249708472
Date: 03-19-2025, Home Team: Suns, Away Team: Bulls, Section: 232, Row: 9, Price: $28, Est. Price: $44.80, URL: https://www.stubhub.com/phoenix-suns-phoenix-tickets-3-19-2025/event/154770092/?quantity=2&listingId=7805658683
Date: 03-19-2025, Home Team: Suns, Away Team: Bulls, Section: 228, Row: 6, Price: $28, Est. Price: $44.80, URL: https://www.stubhub.com/phoenix-suns-phoenix-tickets-3-19-2025/event/154770092/?quantity=2&listingId=8417758146
Date: 03-19-2025, Home Team: Suns, Away Team: Bulls, Section: 223, Row: 7, Price: $28, Est. Price: $44.80, URL: https://www.stubhub.com/phoenix-suns-phoenix-tickets-3-19-2025/event/154770092/?quantity=2&listingId=8417755018
Date: 03-19-2025, Home Team: Suns, Away Team: Bulls, Section: 222, Row: 11, Price: $28, Est. Price: $44.80, URL: https://www.stubhub.com/phoenix-suns-phoenix-tickets-3-19-2025/event/154770092/?quantity=2&listingId=7805658636
Date: 03-19-2025, Home Team: Suns, Away Team: Bulls, Section: 223, Row: 14, Price: $28, Est. Price: $44.80, URL: https://www.stubhub.com/phoenix-suns-phoenix-tickets-3-19-2025/event/154770092/?quantity=2&listingId=8223737530
Date: 03-19-2025, Home Team: Suns, Away Team: Bulls, Section: 224, Row: 10, Price: $28, Est. Price: $44.80, URL: https://www.stubhub.com/phoenix-suns-phoenix-tickets-3-19-2025/event/154770092/?quantity=2&listingId=7810552009
Date: 03-19-2025, Home Team: Suns, Away Team: Bulls, Section: 215, Row: 7, Price: $28, Est. Price: $44.80, URL: https://www.stubhub.com/phoenix-suns-phoenix-tickets-3-19-2025/event/154770092/?quantity=2&listingId=8442544105
Date: 03-19-2025, Home Team: Suns, Away Team: Bulls, Section: 226, Row: 10, Price: $28, Est. Price: $44.80, URL: https://www.stubhub.com/phoenix-suns-phoenix-tickets-3-19-2025/event/154770092/?quantity=2&listingId=7853443287
Date: 03-19-2025, Home Team: Suns, Away Team: Bulls, Section: 215, Row: 9, Price: $28, Est. Price: $44.80, URL: https://www.stubhub.com/phoenix-suns-phoenix-tickets-3-19-2025/event/154770092/?quantity=2&listingId=7805658697
Date: 03-19-2025, Home Team: Suns, Away Team: Bulls, Section: 224, Row: 4, Price: $29, Est. Price: $46.40, URL: https://www.stubhub.com/phoenix-suns-phoenix-tickets-3-19-2025/event/154770092/?quantity=2&listingId=7804327388
Date: 03-19-2025, Home Team: Suns, Away Team: Bulls, Section: 206, Row: 8, Price: $29, Est. Price: $46.40, URL: https://www.stubhub.com/phoenix-suns-phoenix-tickets-3-19-2025/event/154770092/?quantity=2&listingId=8271083242
Date: 03-19-2025, Home Team: Suns, Away Team: Bulls, Section: 229, Row: 11, Price: $29, Est. Price: $46.40, URL: https://www.stubhub.com/phoenix-suns-phoenix-tickets-3-19-2025/event/154770092/?quantity=2&listingId=8599133487
Date: 03-19-2025, Home Team: Suns, Away Team: Bulls, Section: 225, Row: 11, Price: $29, Est. Price: $46.40, URL: https://www.stubhub.com/phoenix-suns-phoenix-tickets-3-19-2025/event/154770092/?quantity=2&listingId=7805658510
Date: 03-19-2025, Home Team: Suns, Away Team: Bulls, Section: 213, Row: 10, Price: $29, Est. Price: $46.40, URL: https://www.stubhub.com/phoenix-suns-phoenix-tickets-3-19-2025/event/154770092/?quantity=2&listingId=8706144282
Date: 03-19-2025, Home Team: Suns, Away Team: Bulls, Section: 209, Row: 11, Price: $29, Est. Price: $46.40, URL: https://www.stubhub.com/phoenix-suns-phoenix-tickets-3-19-2025/event/154770092/?quantity=2&listingId=8623673503
Date: 03-19-2025, Home Team: Suns, Away Team: Bulls, Section: 215, Row: 14, Price: $29, Est. Price: $46.40, URL: https://www.stubhub.com/phoenix-suns-phoenix-tickets-3-19-2025/event/154770092/?quantity=2&listingId=8069913845
Date: 03-19-2025, Home Team: Suns, Away Team: Bulls, Section: 203, Row: 13, Price: $30, Est. Price: $48.00, URL: https://www.stubhub.com/phoenix-suns-phoenix-tickets-3-19-2025/event/154770092/?quantity=2&listingId=7936934324
Date: 03-19-2025, Home Team: Suns, Away Team: Bulls, Section: 221, Row: 8, Price: $30, Est. Price: $48.00, URL: https://www.stubhub.com/phoenix-suns-phoenix-tickets-3-19-2025/event/154770092/?quantity=2&listingId=8674081038
