Date: 09-06-2025, Home Team: Dbacks, Away Team: Red Sox, Section: 142, Row: 13, Price: $89.00, Est. Price: $89.00, URL: https://gametime.co/mlb-baseball/red-sox-at-diamondbacks-tickets/9-6-2025-phoenix-az-chase-field/events/66a1721f8f48b5639d2f5e86/listings/678683f15f5eedb9b59e2e59
Date: 09-06-2025, Home Team: Dbacks, Away Team: Red Sox, Section: 139, Row: 39, Price: $91.00, Est. Price: $91.00, URL: https://gametime.co/mlb-baseball/red-sox-at-diamondbacks-tickets/9-6-2025-phoenix-az-chase-field/events/66a1721f8f48b5639d2f5e86/listings/67d20ef4dec8018c7629d76e
Date: 09-06-2025, Home Team: Dbacks, Away Team: Red Sox, Section: 107, Row: 38, Price: $91.00, Est. Price: $91.00, URL: https://gametime.co/mlb-baseball/red-sox-at-diamondbacks-tickets/9-6-2025-phoenix-az-chase-field/events/66a1721f8f48b5639d2f5e86/listings/67d20ed4dec8018c76246906
Date: 09-06-2025, Home Team: Dbacks, Away Team: Red Sox, Section: 140, Row: 12, Price: $91.00, Est. Price: $91.00, URL: https://gametime.co/mlb-baseball/red-sox-at-diamondbacks-tickets/9-6-2025-phoenix-az-chase-field/events/66a1721f8f48b5639d2f5e86/listings/677db2b6b98988f2dbb44160
Date: 09-06-2025, Home Team: Dbacks, Away Team: Red Sox, Section: 141, Row: 39, Price: $91.00, Est. Price: $91.00, URL: https://gametime.co/mlb-baseball/red-sox-at-diamondbacks-tickets/9-6-2025-phoenix-az-chase-field/events/66a1721f8f48b5639d2f5e86/listings/67d20ef0dec8018c76292de7
Date: 09-06-2025, Home Team: Dbacks, Away Team: Red Sox, Section: 103, Row: 37, Price: $91.00, Est. Price: $91.00, URL: https://gametime.co/mlb-baseball/red-sox-at-diamondbacks-tickets/9-6-2025-phoenix-az-chase-field/events/66a1721f8f48b5639d2f5e86/listings/67d20ef2dec8018c76297b8e
Date: 09-06-2025, Home Team: Dbacks, Away Team: Red Sox, Section: 105, Row: 39, Price: $91.00, Est. Price: $91.00, URL: https://gametime.co/mlb-baseball/red-sox-at-diamondbacks-tickets/9-6-2025-phoenix-az-chase-field/events/66a1721f8f48b5639d2f5e86/listings/67d20ef4dec8018c7629dae8
Date: 09-06-2025, Home Team: Dbacks, Away Team: Red Sox, Section: 102, Row: 39, Price: $91.00, Est. Price: $91.00, URL: https://gametime.co/mlb-baseball/red-sox-at-diamondbacks-tickets/9-6-2025-phoenix-az-chase-field/events/66a1721f8f48b5639d2f5e86/listings/67d20f04dec8018c762c4ac7
Date: 09-06-2025, Home Team: Dbacks, Away Team: Red Sox, Section: 104, Row: 37, Price: $91.00, Est. Price: $91.00, URL: https://gametime.co/mlb-baseball/red-sox-at-diamondbacks-tickets/9-6-2025-phoenix-az-chase-field/events/66a1721f8f48b5639d2f5e86/listings/67d20ed2dec8018c7624023c
Date: 09-06-2025, Home Team: Dbacks, Away Team: Red Sox, Section: 143, Row: 27, Price: $92.00, Est. Price: $92.00, URL: https://gametime.co/mlb-baseball/red-sox-at-diamondbacks-tickets/9-6-2025-phoenix-az-chase-field/events/66a1721f8f48b5639d2f5e86/listings/67d20eeddec8018c7628c4c9
Date: 09-06-2025, Home Team: Dbacks, Away Team: Red Sox, Section: 142, Row: 39, Price: $92.00, Est. Price: $92.00, URL: https://gametime.co/mlb-baseball/red-sox-at-diamondbacks-tickets/9-6-2025-phoenix-az-chase-field/events/66a1721f8f48b5639d2f5e86/listings/67d20ef0dec8018c762928d5
Date: 09-06-2025, Home Team: Dbacks, Away Team: Red Sox, Section: 106, Row: 39, Price: $92.00, Est. Price: $92.00, URL: https://gametime.co/mlb-baseball/red-sox-at-diamondbacks-tickets/9-6-2025-phoenix-az-chase-field/events/66a1721f8f48b5639d2f5e86/listings/67d20ed8dec8018c762539d0
Date: 09-06-2025, Home Team: Dbacks, Away Team: Red Sox, Section: 141, Row: 12, Price: $92.00, Est. Price: $92.00, URL: https://gametime.co/mlb-baseball/red-sox-at-diamondbacks-tickets/9-6-2025-phoenix-az-chase-field/events/66a1721f8f48b5639d2f5e86/listings/677db2bdb98988f2dbb4b566
Date: 09-06-2025, Home Team: Dbacks, Away Team: Red Sox, Section: 318, Row: 20, Price: $94.00, Est. Price: $94.00, URL: https://gametime.co/mlb-baseball/red-sox-at-diamondbacks-tickets/9-6-2025-phoenix-az-chase-field/events/66a1721f8f48b5639d2f5e86/listings/67a5620e3e2207e70bbdd8b8
Date: 09-06-2025, Home Team: Dbacks, Away Team: Red Sox, Section: 105, Row: 18, Price: $101.00, Est. Price: $101.00, URL: https://gametime.co/mlb-baseball/red-sox-at-diamondbacks-tickets/9-6-2025-phoenix-az-chase-field/events/66a1721f8f48b5639d2f5e86/listings/67d48fbbdec8018c76855780
Date: 09-06-2025, Home Team: Dbacks, Away Team: Red Sox, Section: 110, Row: 11, Price: $103.00, Est. Price: $103.00, URL: https://gametime.co/mlb-baseball/red-sox-at-diamondbacks-tickets/9-6-2025-phoenix-az-chase-field/events/66a1721f8f48b5639d2f5e86/listings/67d37516dec8018c76f09376
Date: 09-06-2025, Home Team: Dbacks, Away Team: Red Sox, Section: 222, Row: 4, Price: $104.00, Est. Price: $104.00, URL: https://gametime.co/mlb-baseball/red-sox-at-diamondbacks-tickets/9-6-2025-phoenix-az-chase-field/events/66a1721f8f48b5639d2f5e86/listings/67d1c0f6dec8018c76a06bdc
