Date: 07-12-2025, Home Team: PHX Arena, Away Team: Katy Perry, Section: 220, Row: 7, Price: $122, Est. Price: $176.90, URL: https://www.stubhub.com/katy-perry-phoenix-tickets-7-12-2025/event/157091962/?quantity=2&listingId=8802599742
Date: 07-12-2025, Home Team: PHX Arena, Away Team: Katy Perry, Section: 211, Row: 10, Price: $122, Est. Price: $176.90, URL: https://www.stubhub.com/katy-perry-phoenix-tickets-7-12-2025/event/157091962/?quantity=2&listingId=8716954598
Date: 07-12-2025, Home Team: PHX Arena, Away Team: Katy Perry, Section: 219, Row: 7, Price: $122, Est. Price: $176.90, URL: https://www.stubhub.com/katy-perry-phoenix-tickets-7-12-2025/event/157091962/?quantity=2&listingId=8723619464
Date: 07-12-2025, Home Team: PHX Arena, Away Team: Katy Perry, Section: 218, Row: 6, Price: $122, Est. Price: $176.90, URL: https://www.stubhub.com/katy-perry-phoenix-tickets-7-12-2025/event/157091962/?quantity=2&listingId=8733567868
Date: 07-12-2025, Home Team: PHX Arena, Away Team: Katy Perry, Section: 205, Row: 7, Price: $122, Est. Price: $176.90, URL: https://www.stubhub.com/katy-perry-phoenix-tickets-7-12-2025/event/157091962/?quantity=2&listingId=8733567998
Date: 07-12-2025, Home Team: PHX Arena, Away Team: Katy Perry, Section: 207, Row: 1, Price: $124, Est. Price: $179.80, URL: https://www.stubhub.com/katy-perry-phoenix-tickets-7-12-2025/event/157091962/?quantity=2&listingId=8827458339
Date: 07-12-2025, Home Team: PHX Arena, Away Team: Katy Perry, Section: 110, Row: 27, Price: $125, Est. Price: $181.25, URL: https://www.stubhub.com/katy-perry-phoenix-tickets-7-12-2025/event/157091962/?quantity=2&listingId=8664466928
Date: 07-12-2025, Home Team: PHX Arena, Away Team: Katy Perry, Section: 111, Row: 25, Price: $126, Est. Price: $182.70, URL: https://www.stubhub.com/katy-perry-phoenix-tickets-7-12-2025/event/157091962/?quantity=2&listingId=8664459602
Date: 07-12-2025, Home Team: PHX Arena, Away Team: Katy Perry, Section: 201, Row: 6, Price: $126, Est. Price: $182.70, URL: https://www.stubhub.com/katy-perry-phoenix-tickets-7-12-2025/event/157091962/?quantity=2&listingId=8735240920
Date: 07-12-2025, Home Team: PHX Arena, Away Team: Katy Perry, Section: 201, Row: 7, Price: $126, Est. Price: $182.70, URL: https://www.stubhub.com/katy-perry-phoenix-tickets-7-12-2025/event/157091962/?quantity=2&listingId=8690996348
