Date: tbd2, Home Team: Cardinals, Away Team: Panthers, Section: 451, Row: 9, Price: $384.00, Est. Price: $384.00, URL: https://gametime.co/nfl-football/panthers-at-cardinals-tickets/3-5-2026-glendale-az-state-farm-stadium/events/677c9379f626368a28985915/listings/678470a05f5eedb9b580e50d?queryId=2ad66b0ab8729716e09c684705f4fb08&resultPosition=3&searchIndex=performers
Date: tbd2, Home Team: Cardinals, Away Team: Panthers, Section: 129, Row: 40, Price: $392.00, Est. Price: $392.00, URL: https://gametime.co/nfl-football/panthers-at-cardinals-tickets/3-5-2026-glendale-az-state-farm-stadium/events/677c9379f626368a28985915/listings/67c00c522f94efc8100f9458?queryId=2ad66b0ab8729716e09c684705f4fb08&resultPosition=3&searchIndex=performers
Date: tbd2, Home Team: Cardinals, Away Team: Panthers, Section: 110, Row: 33, Price: $395.00, Est. Price: $395.00, URL: https://gametime.co/nfl-football/panthers-at-cardinals-tickets/3-5-2026-glendale-az-state-farm-stadium/events/677c9379f626368a28985915/listings/67c00c522f94efc8100f948e?queryId=2ad66b0ab8729716e09c684705f4fb08&resultPosition=3&searchIndex=performers
Date: tbd2, Home Team: Cardinals, Away Team: Panthers, Section: 128, Row: 29, Price: $398.00, Est. Price: $398.00, URL: https://gametime.co/nfl-football/panthers-at-cardinals-tickets/3-5-2026-glendale-az-state-farm-stadium/events/677c9379f626368a28985915/listings/67c00c522f94efc8100fb119?queryId=2ad66b0ab8729716e09c684705f4fb08&resultPosition=3&searchIndex=performers
Date: tbd2, Home Team: Cardinals, Away Team: Panthers, Section: 242, Row: 1, Price: $413.00, Est. Price: $413.00, URL: https://gametime.co/nfl-football/panthers-at-cardinals-tickets/3-5-2026-glendale-az-state-farm-stadium/events/677c9379f626368a28985915/listings/67bf656d2f94efc810dbb8f8?queryId=2ad66b0ab8729716e09c684705f4fb08&resultPosition=3&searchIndex=performers
Date: tbd2, Home Team: Cardinals, Away Team: Panthers, Section: 130, Row: 28, Price: $417.00, Est. Price: $417.00, URL: https://gametime.co/nfl-football/panthers-at-cardinals-tickets/3-5-2026-glendale-az-state-farm-stadium/events/677c9379f626368a28985915/listings/67c00c522f94efc8100fb148?queryId=2ad66b0ab8729716e09c684705f4fb08&resultPosition=3&searchIndex=performers
Date: tbd2, Home Team: Cardinals, Away Team: Panthers, Section: 108, Row: 39, Price: $430.00, Est. Price: $430.00, URL: https://gametime.co/nfl-football/panthers-at-cardinals-tickets/3-5-2026-glendale-az-state-farm-stadium/events/677c9379f626368a28985915/listings/67c00c522f94efc8100f9399?queryId=2ad66b0ab8729716e09c684705f4fb08&resultPosition=3&searchIndex=performers
Date: tbd2, Home Team: Cardinals, Away Team: Panthers, Section: 132, Row: 4, Price: $431.00, Est. Price: $431.00, URL: https://gametime.co/nfl-football/panthers-at-cardinals-tickets/3-5-2026-glendale-az-state-farm-stadium/events/677c9379f626368a28985915/listings/67a37b16f6af5e52e4f0cf82?queryId=2ad66b0ab8729716e09c684705f4fb08&resultPosition=3&searchIndex=performers
Date: tbd2, Home Team: Cardinals, Away Team: Panthers, Section: 109, Row: 35, Price: $462.00, Est. Price: $462.00, URL: https://gametime.co/nfl-football/panthers-at-cardinals-tickets/3-5-2026-glendale-az-state-farm-stadium/events/677c9379f626368a28985915/listings/67c00c522f94efc8100f944f?queryId=2ad66b0ab8729716e09c684705f4fb08&resultPosition=3&searchIndex=performers
Date: tbd2, Home Team: Cardinals, Away Team: Panthers, Section: 119, Row: 17, Price: $462.00, Est. Price: $462.00, URL: https://gametime.co/nfl-football/panthers-at-cardinals-tickets/3-5-2026-glendale-az-state-farm-stadium/events/677c9379f626368a28985915/listings/67a374c3f6af5e52e423f8d8?queryId=2ad66b0ab8729716e09c684705f4fb08&resultPosition=3&searchIndex=performers
Date: tbd2, Home Team: Cardinals, Away Team: Panthers, Section: 130, Row: 39, Price: $462.00, Est. Price: $462.00, URL: https://gametime.co/nfl-football/panthers-at-cardinals-tickets/3-5-2026-glendale-az-state-farm-stadium/events/677c9379f626368a28985915/listings/67c00c522f94efc8100f93b3?queryId=2ad66b0ab8729716e09c684705f4fb08&resultPosition=3&searchIndex=performers
Date: tbd2, Home Team: Cardinals, Away Team: Panthers, Section: 107, Row: 17, Price: $474.00, Est. Price: $474.00, URL: https://gametime.co/nfl-football/panthers-at-cardinals-tickets/3-5-2026-glendale-az-state-farm-stadium/events/677c9379f626368a28985915/listings/67c00c522f94efc8100fb187?queryId=2ad66b0ab8729716e09c684705f4fb08&resultPosition=3&searchIndex=performers
Date: tbd2, Home Team: Cardinals, Away Team: Panthers, Section: 108, Row: 34, Price: $481.00, Est. Price: $481.00, URL: https://gametime.co/nfl-football/panthers-at-cardinals-tickets/3-5-2026-glendale-az-state-farm-stadium/events/677c9379f626368a28985915/listings/67c00c522f94efc8100f9408?queryId=2ad66b0ab8729716e09c684705f4fb08&resultPosition=3&searchIndex=performers
Date: tbd2, Home Team: Cardinals, Away Team: Panthers, Section: 416, Row: 9, Price: $549.00, Est. Price: $549.00, URL: https://gametime.co/nfl-football/panthers-at-cardinals-tickets/3-5-2026-glendale-az-state-farm-stadium/events/677c9379f626368a28985915/listings/6784709e5f5eedb9b580d2e4?queryId=2ad66b0ab8729716e09c684705f4fb08&resultPosition=3&searchIndex=performers
