Date: 09-21-2025, Home Team: Dbacks, Away Team: Phillies, Section: 321, Row: 1, Price: $57.00, Est. Price: $57.00, URL: https://gametime.co/mlb-baseball/phillies-at-diamondbacks-tickets/9-21-2025-phoenix-az-chase-field/events/66a1723716885b26c912bf59/listings/67896e445f5eedb9b54cb901
Date: 09-21-2025, Home Team: Dbacks, Away Team: Phillies, Section: 204, Row: 1, Price: $58.00, Est. Price: $58.00, URL: https://gametime.co/mlb-baseball/phillies-at-diamondbacks-tickets/9-21-2025-phoenix-az-chase-field/events/66a1723716885b26c912bf59/listings/677b329ab98988f2db5629ab
Date: 09-21-2025, Home Team: Dbacks, Away Team: Phillies, Section: 216, Row: 1, Price: $59.00, Est. Price: $59.00, URL: https://gametime.co/mlb-baseball/phillies-at-diamondbacks-tickets/9-21-2025-phoenix-az-chase-field/events/66a1723716885b26c912bf59/listings/677b329ab98988f2db562a49
Date: 09-21-2025, Home Team: Dbacks, Away Team: Phillies, Section: 205, Row: 2, Price: $59.00, Est. Price: $59.00, URL: https://gametime.co/mlb-baseball/phillies-at-diamondbacks-tickets/9-21-2025-phoenix-az-chase-field/events/66a1723716885b26c912bf59/listings/67d48fb7dec8018c7684b6ae
Date: 09-21-2025, Home Team: Dbacks, Away Team: Phillies, Section: 134, Row: 25, Price: $59.00, Est. Price: $59.00, URL: https://gametime.co/mlb-baseball/phillies-at-diamondbacks-tickets/9-21-2025-phoenix-az-chase-field/events/66a1723716885b26c912bf59/listings/67a68c313e2207e70b35cbf1
Date: 09-21-2025, Home Team: Dbacks, Away Team: Phillies, Section: 112, Row: 9, Price: $59.00, Est. Price: $59.00, URL: https://gametime.co/mlb-baseball/phillies-at-diamondbacks-tickets/9-21-2025-phoenix-az-chase-field/events/66a1723716885b26c912bf59/listings/677b34b3b98988f2db7fdf37
Date: 09-21-2025, Home Team: Dbacks, Away Team: Phillies, Section: 110, Row: 24, Price: $59.00, Est. Price: $59.00, URL: https://gametime.co/mlb-baseball/phillies-at-diamondbacks-tickets/9-21-2025-phoenix-az-chase-field/events/66a1723716885b26c912bf59/listings/67a68c2f3e2207e70b3586bd
Date: 09-21-2025, Home Team: Dbacks, Away Team: Phillies, Section: 110, Row: 8, Price: $59.00, Est. Price: $59.00, URL: https://gametime.co/mlb-baseball/phillies-at-diamondbacks-tickets/9-21-2025-phoenix-az-chase-field/events/66a1723716885b26c912bf59/listings/67d48fbfdec8018c7685d8b1
Date: 09-21-2025, Home Team: Dbacks, Away Team: Phillies, Section: 217, Row: 2, Price: $60.00, Est. Price: $60.00, URL: https://gametime.co/mlb-baseball/phillies-at-diamondbacks-tickets/9-21-2025-phoenix-az-chase-field/events/66a1723716885b26c912bf59/listings/67d48fbbdec8018c76855774
Date: 09-21-2025, Home Team: Dbacks, Away Team: Phillies, Section: 319, Row: 32, Price: $60.00, Est. Price: $60.00, URL: https://gametime.co/mlb-baseball/phillies-at-diamondbacks-tickets/9-21-2025-phoenix-az-chase-field/events/66a1723716885b26c912bf59/listings/67ca0d3fdec8018c767d61b9
Date: 09-21-2025, Home Team: Dbacks, Away Team: Phillies, Section: 320, Row: 32, Price: $60.00, Est. Price: $60.00, URL: https://gametime.co/mlb-baseball/phillies-at-diamondbacks-tickets/9-21-2025-phoenix-az-chase-field/events/66a1723716885b26c912bf59/listings/67ca0d31dec8018c767be0ad
Date: 09-21-2025, Home Team: Dbacks, Away Team: Phillies, Section: 318, Row: 32, Price: $60.00, Est. Price: $60.00, URL: https://gametime.co/mlb-baseball/phillies-at-diamondbacks-tickets/9-21-2025-phoenix-az-chase-field/events/66a1723716885b26c912bf59/listings/67ca0d3adec8018c767ce156
Date: 09-21-2025, Home Team: Dbacks, Away Team: Phillies, Section: 314, Row: 32, Price: $60.00, Est. Price: $60.00, URL: https://gametime.co/mlb-baseball/phillies-at-diamondbacks-tickets/9-21-2025-phoenix-az-chase-field/events/66a1723716885b26c912bf59/listings/67ca0d28dec8018c767b0ab9
Date: 09-21-2025, Home Team: Dbacks, Away Team: Phillies, Section: 313, Row: 32, Price: $60.00, Est. Price: $60.00, URL: https://gametime.co/mlb-baseball/phillies-at-diamondbacks-tickets/9-21-2025-phoenix-az-chase-field/events/66a1723716885b26c912bf59/listings/67ca0d05dec8018c76772ef3
Date: 09-21-2025, Home Team: Dbacks, Away Team: Phillies, Section: 312, Row: 32, Price: $60.00, Est. Price: $60.00, URL: https://gametime.co/mlb-baseball/phillies-at-diamondbacks-tickets/9-21-2025-phoenix-az-chase-field/events/66a1723716885b26c912bf59/listings/67ca0d16dec8018c7678f97c
Date: 09-21-2025, Home Team: Dbacks, Away Team: Phillies, Section: 317, Row: 32, Price: $60.00, Est. Price: $60.00, URL: https://gametime.co/mlb-baseball/phillies-at-diamondbacks-tickets/9-21-2025-phoenix-az-chase-field/events/66a1723716885b26c912bf59/listings/67ca0cfadec8018c76764cf1
