Date: tbd3, Home Team: Cardinals, Away Team: 49ers, Section: 132, Row: 24, Price: $430.00, Est. Price: $430.00, URL: https://gametime.co/nfl-football/49-ers-at-cardinals-tickets/3-2-2026-glendale-az-state-farm-stadium/events/677c937dc13c59c8f11a19bf/listings/67c00bbf2f94efc810021319?queryId=2ad66b0ab8729716e09c684705f4fb08&resultPosition=3&searchIndex=performers
Date: tbd3, Home Team: Cardinals, Away Team: 49ers, Section: 111, Row: 37, Price: $432.00, Est. Price: $432.00, URL: https://gametime.co/nfl-football/49-ers-at-cardinals-tickets/3-2-2026-glendale-az-state-farm-stadium/events/677c937dc13c59c8f11a19bf/listings/67acc1af3e2207e70b861214?queryId=2ad66b0ab8729716e09c684705f4fb08&resultPosition=3&searchIndex=performers
Date: tbd3, Home Team: Cardinals, Away Team: 49ers, Section: 132, Row: 30, Price: $434.00, Est. Price: $434.00, URL: https://gametime.co/nfl-football/49-ers-at-cardinals-tickets/3-2-2026-glendale-az-state-farm-stadium/events/677c937dc13c59c8f11a19bf/listings/67c00bc62f94efc8100274e2?queryId=2ad66b0ab8729716e09c684705f4fb08&resultPosition=3&searchIndex=performers
Date: tbd3, Home Team: Cardinals, Away Team: 49ers, Section: 133, Row: 13, Price: $437.00, Est. Price: $437.00, URL: https://gametime.co/nfl-football/49-ers-at-cardinals-tickets/3-2-2026-glendale-az-state-farm-stadium/events/677c937dc13c59c8f11a19bf/listings/67c00baf2f94efc8100122ef?queryId=2ad66b0ab8729716e09c684705f4fb08&resultPosition=3&searchIndex=performers
Date: tbd3, Home Team: Cardinals, Away Team: 49ers, Section: 132, Row: 19, Price: $439.00, Est. Price: $439.00, URL: https://gametime.co/nfl-football/49-ers-at-cardinals-tickets/3-2-2026-glendale-az-state-farm-stadium/events/677c937dc13c59c8f11a19bf/listings/67c00bb42f94efc810016bff?queryId=2ad66b0ab8729716e09c684705f4fb08&resultPosition=3&searchIndex=performers
Date: tbd3, Home Team: Cardinals, Away Team: 49ers, Section: 127, Row: 20, Price: $439.00, Est. Price: $439.00, URL: https://gametime.co/nfl-football/49-ers-at-cardinals-tickets/3-2-2026-glendale-az-state-farm-stadium/events/677c937dc13c59c8f11a19bf/listings/67c00bd02f94efc810030f77?queryId=2ad66b0ab8729716e09c684705f4fb08&resultPosition=3&searchIndex=performers
Date: tbd3, Home Team: Cardinals, Away Team: 49ers, Section: 127, Row: 15, Price: $442.00, Est. Price: $442.00, URL: https://gametime.co/nfl-football/49-ers-at-cardinals-tickets/3-2-2026-glendale-az-state-farm-stadium/events/677c937dc13c59c8f11a19bf/listings/67c00bcb2f94efc81002b193?queryId=2ad66b0ab8729716e09c684705f4fb08&resultPosition=3&searchIndex=performers
Date: tbd3, Home Team: Cardinals, Away Team: 49ers, Section: 106, Row: 22, Price: $451.00, Est. Price: $451.00, URL: https://gametime.co/nfl-football/49-ers-at-cardinals-tickets/3-2-2026-glendale-az-state-farm-stadium/events/677c937dc13c59c8f11a19bf/listings/67c00b852f94efc810fd85e8?queryId=2ad66b0ab8729716e09c684705f4fb08&resultPosition=3&searchIndex=performers
Date: tbd3, Home Team: Cardinals, Away Team: 49ers, Section: 119, Row: 17, Price: $457.00, Est. Price: $457.00, URL: https://gametime.co/nfl-football/49-ers-at-cardinals-tickets/3-2-2026-glendale-az-state-farm-stadium/events/677c937dc13c59c8f11a19bf/listings/67a372f6f6af5e52e4fcd98f?queryId=2ad66b0ab8729716e09c684705f4fb08&resultPosition=3&searchIndex=performers
Date: tbd3, Home Team: Cardinals, Away Team: 49ers, Section: 106, Row: 14, Price: $466.00, Est. Price: $466.00, URL: https://gametime.co/nfl-football/49-ers-at-cardinals-tickets/3-2-2026-glendale-az-state-farm-stadium/events/677c937dc13c59c8f11a19bf/listings/67c00b862f94efc810fdabd6?queryId=2ad66b0ab8729716e09c684705f4fb08&resultPosition=3&searchIndex=performers
