Date: 06-09-2025, Home Team: Dbacks, Away Team: Mariners, Section: 108, Row: 21, Price: $52.00, Est. Price: $52.00, URL: https://gametime.co/mlb-baseball/mariners-at-diamondbacks-tickets/6-9-2025-phoenix-az-chase-field/events/66a1717c84a777b1941b9818/listings/67896e2f5f5eedb9b54a7146
Date: 06-09-2025, Home Team: Dbacks, Away Team: Mariners, Section: 319, Row: 32, Price: $52.00, Est. Price: $52.00, URL: https://gametime.co/mlb-baseball/mariners-at-diamondbacks-tickets/6-9-2025-phoenix-az-chase-field/events/66a1717c84a777b1941b9818/listings/6764fbc2b98988f2db854169
Date: 06-09-2025, Home Team: Dbacks, Away Team: Mariners, Section: 315, Row: 32, Price: $52.00, Est. Price: $52.00, URL: https://gametime.co/mlb-baseball/mariners-at-diamondbacks-tickets/6-9-2025-phoenix-az-chase-field/events/66a1717c84a777b1941b9818/listings/6764fbc2b98988f2db8541d1
Date: 06-09-2025, Home Team: Dbacks, Away Team: Mariners, Section: 215, Row: 4, Price: $53.00, Est. Price: $53.00, URL: https://gametime.co/mlb-baseball/mariners-at-diamondbacks-tickets/6-9-2025-phoenix-az-chase-field/events/66a1717c84a777b1941b9818/listings/67e15d34d4811782d3eac6fd
Date: 06-09-2025, Home Team: Dbacks, Away Team: Mariners, Section: 320, Row: 11, Price: $53.00, Est. Price: $53.00, URL: https://gametime.co/mlb-baseball/mariners-at-diamondbacks-tickets/6-9-2025-phoenix-az-chase-field/events/66a1717c84a777b1941b9818/listings/67e32053d4811782d335ce77
Date: 06-09-2025, Home Team: Dbacks, Away Team: Mariners, Section: 318, Row: 12, Price: $53.00, Est. Price: $53.00, URL: https://gametime.co/mlb-baseball/mariners-at-diamondbacks-tickets/6-9-2025-phoenix-az-chase-field/events/66a1717c84a777b1941b9818/listings/67e32029d4811782d330cb5f
Date: 06-09-2025, Home Team: Dbacks, Away Team: Mariners, Section: 312, Row: 11, Price: $53.00, Est. Price: $53.00, URL: https://gametime.co/mlb-baseball/mariners-at-diamondbacks-tickets/6-9-2025-phoenix-az-chase-field/events/66a1717c84a777b1941b9818/listings/67e3203ad4811782d3325731
Date: 06-09-2025, Home Team: Dbacks, Away Team: Mariners, Section: 317, Row: 11, Price: $53.00, Est. Price: $53.00, URL: https://gametime.co/mlb-baseball/mariners-at-diamondbacks-tickets/6-9-2025-phoenix-az-chase-field/events/66a1717c84a777b1941b9818/listings/67e32051d4811782d3358300
Date: 06-09-2025, Home Team: Dbacks, Away Team: Mariners, Section: 321, Row: 11, Price: $53.00, Est. Price: $53.00, URL: https://gametime.co/mlb-baseball/mariners-at-diamondbacks-tickets/6-9-2025-phoenix-az-chase-field/events/66a1717c84a777b1941b9818/listings/67e32033d4811782d331c800
Date: 06-09-2025, Home Team: Dbacks, Away Team: Mariners, Section: 316, Row: 14, Price: $53.00, Est. Price: $53.00, URL: https://gametime.co/mlb-baseball/mariners-at-diamondbacks-tickets/6-9-2025-phoenix-az-chase-field/events/66a1717c84a777b1941b9818/listings/67e32044d4811782d333b304
Date: 06-09-2025, Home Team: Dbacks, Away Team: Mariners, Section: 322, Row: 10, Price: $53.00, Est. Price: $53.00, URL: https://gametime.co/mlb-baseball/mariners-at-diamondbacks-tickets/6-9-2025-phoenix-az-chase-field/events/66a1717c84a777b1941b9818/listings/67e3202cd4811782d3311d3d
Date: 06-09-2025, Home Team: Dbacks, Away Team: Mariners, Section: 111, Row: 6, Price: $55.00, Est. Price: $55.00, URL: https://gametime.co/mlb-baseball/mariners-at-diamondbacks-tickets/6-9-2025-phoenix-az-chase-field/events/66a1717c84a777b1941b9818/listings/677b24cfb98988f2db0181e5
Date: 06-09-2025, Home Team: Dbacks, Away Team: Mariners, Section: 311, Row: 2, Price: $55.00, Est. Price: $55.00, URL: https://gametime.co/mlb-baseball/mariners-at-diamondbacks-tickets/6-9-2025-phoenix-az-chase-field/events/66a1717c84a777b1941b9818/listings/67896e285f5eedb9b549a90c
Date: 06-09-2025, Home Team: Dbacks, Away Team: Mariners, Section: 138, Row: 30, Price: $56.00, Est. Price: $56.00, URL: https://gametime.co/mlb-baseball/mariners-at-diamondbacks-tickets/6-9-2025-phoenix-az-chase-field/events/66a1717c84a777b1941b9818/listings/67e32051d4811782d33581ac
Date: 06-09-2025, Home Team: Dbacks, Away Team: Mariners, Section: 139, Row: 24, Price: $56.00, Est. Price: $56.00, URL: https://gametime.co/mlb-baseball/mariners-at-diamondbacks-tickets/6-9-2025-phoenix-az-chase-field/events/66a1717c84a777b1941b9818/listings/67eb402ed4811782d3e95b0d
Date: 06-09-2025, Home Team: Dbacks, Away Team: Mariners, Section: 106, Row: 28, Price: $56.00, Est. Price: $56.00, URL: https://gametime.co/mlb-baseball/mariners-at-diamondbacks-tickets/6-9-2025-phoenix-az-chase-field/events/66a1717c84a777b1941b9818/listings/67e32049d4811782d33489e0
Date: 06-09-2025, Home Team: Dbacks, Away Team: Mariners, Section: 141, Row: 19, Price: $56.00, Est. Price: $56.00, URL: https://gametime.co/mlb-baseball/mariners-at-diamondbacks-tickets/6-9-2025-phoenix-az-chase-field/events/66a1717c84a777b1941b9818/listings/67e3203bd4811782d3327323
Date: 06-09-2025, Home Team: Dbacks, Away Team: Mariners, Section: 136, Row: 29, Price: $56.00, Est. Price: $56.00, URL: https://gametime.co/mlb-baseball/mariners-at-diamondbacks-tickets/6-9-2025-phoenix-az-chase-field/events/66a1717c84a777b1941b9818/listings/67e3202cd4811782d33121d4
Date: 06-09-2025, Home Team: Dbacks, Away Team: Mariners, Section: 102, Row: 39, Price: $56.00, Est. Price: $56.00, URL: https://gametime.co/mlb-baseball/mariners-at-diamondbacks-tickets/6-9-2025-phoenix-az-chase-field/events/66a1717c84a777b1941b9818/listings/6764fbc2b98988f2db851ffd
Date: 06-09-2025, Home Team: Dbacks, Away Team: Mariners, Section: 217, Row: 2, Price: $57.00, Est. Price: $57.00, URL: https://gametime.co/mlb-baseball/mariners-at-diamondbacks-tickets/6-9-2025-phoenix-az-chase-field/events/66a1717c84a777b1941b9818/listings/67e15d3ad4811782d3eb358f
Date: 06-09-2025, Home Team: Dbacks, Away Team: Mariners, Section: 318, Row: 32, Price: $57.00, Est. Price: $57.00, URL: https://gametime.co/mlb-baseball/mariners-at-diamondbacks-tickets/6-9-2025-phoenix-az-chase-field/events/66a1717c84a777b1941b9818/listings/67e45bb7d4811782d35ffd4f
Date: 06-09-2025, Home Team: Dbacks, Away Team: Mariners, Section: 134, Row: 25, Price: $58.00, Est. Price: $58.00, URL: https://gametime.co/mlb-baseball/mariners-at-diamondbacks-tickets/6-9-2025-phoenix-az-chase-field/events/66a1717c84a777b1941b9818/listings/67a67b3e3e2207e70b87696d
