Date: 06-10-2025, Home Team: Dbacks, Away Team: Mariners, Section: 329, Row: 21, Price: $24, Est. Price: $43.20, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-6-10-2025/event/154663272/?quantity=2&listingId=8901032734
Date: 06-10-2025, Home Team: Dbacks, Away Team: Mariners, Section: 332, Row: 11, Price: $24, Est. Price: $43.20, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-6-10-2025/event/154663272/?quantity=2&listingId=8901040716
Date: 06-10-2025, Home Team: Dbacks, Away Team: Mariners, Section: 300, Row: 19, Price: $24, Est. Price: $43.20, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-6-10-2025/event/154663272/?quantity=2&listingId=8892036670
Date: 06-10-2025, Home Team: Dbacks, Away Team: Mariners, Section: 300, Row: 20, Price: $24, Est. Price: $43.20, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-6-10-2025/event/154663272/?quantity=2&listingId=8892036733
Date: 06-10-2025, Home Team: Dbacks, Away Team: Mariners, Section: 329, Row: 22, Price: $24, Est. Price: $43.20, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-6-10-2025/event/154663272/?quantity=2&listingId=8901033712
Date: 06-10-2025, Home Team: Dbacks, Away Team: Mariners, Section: 329, Row: 23, Price: $24, Est. Price: $43.20, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-6-10-2025/event/154663272/?quantity=2&listingId=8901033730
Date: 06-10-2025, Home Team: Dbacks, Away Team: Mariners, Section: 300, Row: 21, Price: $24, Est. Price: $43.20, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-6-10-2025/event/154663272/?quantity=2&listingId=8892036777
Date: 06-10-2025, Home Team: Dbacks, Away Team: Mariners, Section: 329, Row: 24, Price: $24, Est. Price: $43.20, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-6-10-2025/event/154663272/?quantity=2&listingId=8901033802
Date: 06-10-2025, Home Team: Dbacks, Away Team: Mariners, Section: 332, Row: 12, Price: $24, Est. Price: $43.20, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-6-10-2025/event/154663272/?quantity=2&listingId=8901040790
Date: 06-10-2025, Home Team: Dbacks, Away Team: Mariners, Section: 300, Row: 22, Price: $24, Est. Price: $43.20, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-6-10-2025/event/154663272/?quantity=2&listingId=8892036802
