Date: 05-01-2025, Home Team: Phx Arena, Away Team: J Balvin, Section: 101, Row: 26, Price: $185, Est. Price: $240.5, URL: https://www.stubhub.com/j-balvin-phoenix-tickets-5-1-2025/event/156236429/?quantity=2&listingId=9106514714
Date: 05-01-2025, Home Team: Phx Arena, Away Team: J Balvin, Section: 115, Row: 25, Price: $185, Est. Price: $240.5, URL: https://www.stubhub.com/j-balvin-phoenix-tickets-5-1-2025/event/156236429/?quantity=2&listingId=9097259189
Date: 05-01-2025, Home Team: Phx Arena, Away Team: J Balvin, Section: 115, Row: 27, Price: $185, Est. Price: $240.5, URL: https://www.stubhub.com/j-balvin-phoenix-tickets-5-1-2025/event/156236429/?quantity=2&listingId=9096393074
Date: 05-01-2025, Home Team: Phx Arena, Away Team: J Balvin, Section: 116, Row: 17, Price: $185, Est. Price: $240.5, URL: https://www.stubhub.com/j-balvin-phoenix-tickets-5-1-2025/event/156236429/?quantity=2&listingId=9097047727
Date: 05-01-2025, Home Team: Phx Arena, Away Team: J Balvin, Section: 116, Row: 23, Price: $185, Est. Price: $240.5, URL: https://www.stubhub.com/j-balvin-phoenix-tickets-5-1-2025/event/156236429/?quantity=2&listingId=9096396822
Date: 05-01-2025, Home Team: Phx Arena, Away Team: J Balvin, Section: 116, Row: 27, Price: $185, Est. Price: $240.5, URL: https://www.stubhub.com/j-balvin-phoenix-tickets-5-1-2025/event/156236429/?quantity=2&listingId=9097261768
Date: 05-01-2025, Home Team: Phx Arena, Away Team: J Balvin, Section: 124, Row: 22, Price: $185, Est. Price: $240.5, URL: https://www.stubhub.com/j-balvin-phoenix-tickets-5-1-2025/event/156236429/?quantity=2&listingId=9096673713
Date: 05-01-2025, Home Team: Phx Arena, Away Team: J Balvin, Section: 113, Row: 2, Price: $186, Est. Price: $241.8, URL: https://www.stubhub.com/j-balvin-phoenix-tickets-5-1-2025/event/156236429/?quantity=2&listingId=9088201496
Date: 05-01-2025, Home Team: Phx Arena, Away Team: J Balvin, Section: 106, Row: 2, Price: $186, Est. Price: $241.8, URL: https://www.stubhub.com/j-balvin-phoenix-tickets-5-1-2025/event/156236429/?quantity=2&listingId=9088211853
Date: 05-01-2025, Home Team: Phx Arena, Away Team: J Balvin, Section: 114, Row: 4, Price: $188, Est. Price: $244.4, URL: https://www.stubhub.com/j-balvin-phoenix-tickets-5-1-2025/event/156236429/?quantity=2&listingId=9061701258
Date: 05-01-2025, Home Team: Phx Arena, Away Team: J Balvin, Section: 102, Row: 3, Price: $189, Est. Price: $245.70000000000002, URL: https://www.stubhub.com/j-balvin-phoenix-tickets-5-1-2025/event/156236429/?quantity=2&listingId=8836887857
Date: 05-01-2025, Home Team: Phx Arena, Away Team: J Balvin, Section: 104, Row: 2, Price: $190, Est. Price: $247, URL: https://www.stubhub.com/j-balvin-phoenix-tickets-5-1-2025/event/156236429/?quantity=2&listingId=9083280391
Date: 05-01-2025, Home Team: Phx Arena, Away Team: J Balvin, Section: 104, Row: 2, Price: $192, Est. Price: $249.60000000000002, URL: https://www.stubhub.com/j-balvin-phoenix-tickets-5-1-2025/event/156236429/?quantity=2&listingId=9096749200
Date: 05-01-2025, Home Team: Phx Arena, Away Team: J Balvin, Section: 106, Row: 2, Price: $192, Est. Price: $249.60000000000002, URL: https://www.stubhub.com/j-balvin-phoenix-tickets-5-1-2025/event/156236429/?quantity=2&listingId=9126655076
Date: 05-01-2025, Home Team: Phx Arena, Away Team: J Balvin, Section: 116, Row: 28, Price: $193, Est. Price: $250.9, URL: https://www.stubhub.com/j-balvin-phoenix-tickets-5-1-2025/event/156236429/?quantity=2&listingId=9084304320
Date: 05-01-2025, Home Team: Phx Arena, Away Team: J Balvin, Section: 112, Row: 2, Price: $193, Est. Price: $250.9, URL: https://www.stubhub.com/j-balvin-phoenix-tickets-5-1-2025/event/156236429/?quantity=2&listingId=9124179993
Date: 05-01-2025, Home Team: Phx Arena, Away Team: J Balvin, Section: 110, Row: 2, Price: $193, Est. Price: $250.9, URL: https://www.stubhub.com/j-balvin-phoenix-tickets-5-1-2025/event/156236429/?quantity=2&listingId=9123860078
