Date: 05-17-2025, Home Team: Dbacks, Away Team: Rockies, Section: 111, Row: 10, Price: $52, Est. Price: $83.20, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-5-17-2025/event/154662237/?quantity=2&listingId=9093073818
Date: 05-17-2025, Home Team: Dbacks, Away Team: Rockies, Section: 102, Row: 18, Price: $52, Est. Price: $83.20, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-5-17-2025/event/154662237/?quantity=2&listingId=9091321423
Date: 05-17-2025, Home Team: Dbacks, Away Team: Rockies, Section: 106, Row: 28, Price: $52, Est. Price: $83.20, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-5-17-2025/event/154662237/?quantity=2&listingId=8829679895
Date: 05-17-2025, Home Team: Dbacks, Away Team: Rockies, Section: 108, Row: 29, Price: $52, Est. Price: $83.20, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-5-17-2025/event/154662237/?quantity=2&listingId=9056712745
Date: 05-17-2025, Home Team: Dbacks, Away Team: Rockies, Section: 137, Row: 32, Price: $52, Est. Price: $83.20, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-5-17-2025/event/154662237/?quantity=2&listingId=9016270176
Date: 05-17-2025, Home Team: Dbacks, Away Team: Rockies, Section: 107, Row: 30, Price: $52, Est. Price: $83.20, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-5-17-2025/event/154662237/?quantity=2&listingId=8829679901
Date: 05-17-2025, Home Team: Dbacks, Away Team: Rockies, Section: 136, Row: 39, Price: $52, Est. Price: $83.20, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-5-17-2025/event/154662237/?quantity=2&listingId=9079073916
Date: 05-17-2025, Home Team: Dbacks, Away Team: Rockies, Section: 103, Row: 17, Price: $53, Est. Price: $84.80, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-5-17-2025/event/154662237/?quantity=2&listingId=9091321497
Date: 05-17-2025, Home Team: Dbacks, Away Team: Rockies, Section: 143, Row: 19, Price: $53, Est. Price: $84.80, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-5-17-2025/event/154662237/?quantity=2&listingId=9110825256
Date: 05-17-2025, Home Team: Dbacks, Away Team: Rockies, Section: 142, Row: 22, Price: $53, Est. Price: $84.80, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-5-17-2025/event/154662237/?quantity=2&listingId=9058668876
Date: 05-17-2025, Home Team: Dbacks, Away Team: Rockies, Section: 136, Row: 38, Price: $53, Est. Price: $84.80, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-5-17-2025/event/154662237/?quantity=2&listingId=9112251508
Date: 05-17-2025, Home Team: Dbacks, Away Team: Rockies, Section: 139, Row: 25, Price: $53, Est. Price: $84.80, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-5-17-2025/event/154662237/?quantity=2&listingId=9018147025
Date: 05-17-2025, Home Team: Dbacks, Away Team: Rockies, Section: 138, Row: 35, Price: $53, Est. Price: $84.80, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-5-17-2025/event/154662237/?quantity=2&listingId=9110779813
Date: 05-17-2025, Home Team: Dbacks, Away Team: Rockies, Section: 138, Row: 37, Price: $53, Est. Price: $84.80, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-5-17-2025/event/154662237/?quantity=2&listingId=9111279047
Date: 05-17-2025, Home Team: Dbacks, Away Team: Rockies, Section: 138, Row: 38, Price: $53, Est. Price: $84.80, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-5-17-2025/event/154662237/?quantity=2&listingId=9110777299
Date: 05-17-2025, Home Team: Dbacks, Away Team: Rockies, Section: 111, Row: 7, Price: $54, Est. Price: $86.40, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-5-17-2025/event/154662237/?quantity=2&listingId=8793689602
Date: 05-17-2025, Home Team: Dbacks, Away Team: Rockies, Section: 310, Row: 3, Price: $54, Est. Price: $86.40, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-5-17-2025/event/154662237/?quantity=2&listingId=8936887349
