Date: 06-01-2025, Home Team: Dbacks, Away Team: Nationals, Section: 322, Row: 11, Price: $53.00, Est. Price: $53.00, URL: https://gametime.co/mlb-baseball/nationals-at-diamondbacks-tickets/6-1-2025-phoenix-az-chase-field/events/66a1716465348e131fd124cf/listings/67e3204bd4811782d334b75a
Date: 06-01-2025, Home Team: Dbacks, Away Team: Nationals, Section: 134, Row: 27, Price: $56.00, Est. Price: $56.00, URL: https://gametime.co/mlb-baseball/nationals-at-diamondbacks-tickets/6-1-2025-phoenix-az-chase-field/events/66a1716465348e131fd124cf/listings/67a67ad33e2207e70b7d840f
Date: 06-01-2025, Home Team: Dbacks, Away Team: Nationals, Section: 106, Row: 32, Price: $56.00, Est. Price: $56.00, URL: https://gametime.co/mlb-baseball/nationals-at-diamondbacks-tickets/6-1-2025-phoenix-az-chase-field/events/66a1716465348e131fd124cf/listings/67e32035d4811782d331ef22
Date: 06-01-2025, Home Team: Dbacks, Away Team: Nationals, Section: 108, Row: 33, Price: $56.00, Est. Price: $56.00, URL: https://gametime.co/mlb-baseball/nationals-at-diamondbacks-tickets/6-1-2025-phoenix-az-chase-field/events/66a1716465348e131fd124cf/listings/67e32053d4811782d335c056
Date: 06-01-2025, Home Team: Dbacks, Away Team: Nationals, Section: 136, Row: 28, Price: $56.00, Est. Price: $56.00, URL: https://gametime.co/mlb-baseball/nationals-at-diamondbacks-tickets/6-1-2025-phoenix-az-chase-field/events/66a1716465348e131fd124cf/listings/67e32056d4811782d3360b00
Date: 06-01-2025, Home Team: Dbacks, Away Team: Nationals, Section: 138, Row: 26, Price: $56.00, Est. Price: $56.00, URL: https://gametime.co/mlb-baseball/nationals-at-diamondbacks-tickets/6-1-2025-phoenix-az-chase-field/events/66a1716465348e131fd124cf/listings/67eda834d4811782d3d30d09
Date: 06-01-2025, Home Team: Dbacks, Away Team: Nationals, Section: 133, Row: 26, Price: $57.00, Est. Price: $57.00, URL: https://gametime.co/mlb-baseball/nationals-at-diamondbacks-tickets/6-1-2025-phoenix-az-chase-field/events/66a1716465348e131fd124cf/listings/67a67ac03e2207e70b7bb439
Date: 06-01-2025, Home Team: Dbacks, Away Team: Nationals, Section: 140, Row: 39, Price: $58.00, Est. Price: $58.00, URL: https://gametime.co/mlb-baseball/nationals-at-diamondbacks-tickets/6-1-2025-phoenix-az-chase-field/events/66a1716465348e131fd124cf/listings/6764fbc1b98988f2db850827
Date: 06-01-2025, Home Team: Dbacks, Away Team: Nationals, Section: 111, Row: 2, Price: $59.00, Est. Price: $59.00, URL: https://gametime.co/mlb-baseball/nationals-at-diamondbacks-tickets/6-1-2025-phoenix-az-chase-field/events/66a1716465348e131fd124cf/listings/677b24cfb98988f2db0181bc
Date: 06-01-2025, Home Team: Dbacks, Away Team: Nationals, Section: 135, Row: 12, Price: $59.00, Est. Price: $59.00, URL: https://gametime.co/mlb-baseball/nationals-at-diamondbacks-tickets/6-1-2025-phoenix-az-chase-field/events/66a1716465348e131fd124cf/listings/67896e295f5eedb9b549bbf1
Date: 06-01-2025, Home Team: Dbacks, Away Team: Nationals, Section: 110, Row: 8, Price: $59.00, Est. Price: $59.00, URL: https://gametime.co/mlb-baseball/nationals-at-diamondbacks-tickets/6-1-2025-phoenix-az-chase-field/events/66a1716465348e131fd124cf/listings/67e15d3cd4811782d3eb4655
Date: 06-01-2025, Home Team: Dbacks, Away Team: Nationals, Section: 107, Row: 38, Price: $61.00, Est. Price: $61.00, URL: https://gametime.co/mlb-baseball/nationals-at-diamondbacks-tickets/6-1-2025-phoenix-az-chase-field/events/66a1716465348e131fd124cf/listings/67ef47900b271341d1a0283d
Date: 06-01-2025, Home Team: Dbacks, Away Team: Nationals, Section: 106, Row: 38, Price: $61.00, Est. Price: $61.00, URL: https://gametime.co/mlb-baseball/nationals-at-diamondbacks-tickets/6-1-2025-phoenix-az-chase-field/events/66a1716465348e131fd124cf/listings/67ef47a10b271341d1a22d8a
Date: 06-01-2025, Home Team: Dbacks, Away Team: Nationals, Section: 112, Row: 5, Price: $65.00, Est. Price: $65.00, URL: https://gametime.co/mlb-baseball/nationals-at-diamondbacks-tickets/6-1-2025-phoenix-az-chase-field/events/66a1716465348e131fd124cf/listings/677b26aab98988f2db270a0c
Date: 06-01-2025, Home Team: Dbacks, Away Team: Nationals, Section: 205, Row: 2, Price: $66.00, Est. Price: $66.00, URL: https://gametime.co/mlb-baseball/nationals-at-diamondbacks-tickets/6-1-2025-phoenix-az-chase-field/events/66a1716465348e131fd124cf/listings/670ea142f0923f9bcda23112
