Date: 04-25-2025, Home Team: Dbacks, Away Team: Braves, Section: 101, Row: 26, Price: $41, Est. Price: $65.60, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-4-25-2025/event/154654660/?quantity=2&listingId=9039086862
Date: 04-25-2025, Home Team: Dbacks, Away Team: Braves, Section: 108, Row: 30, Price: $41, Est. Price: $65.60, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-4-25-2025/event/154654660/?quantity=2&listingId=8936800261
Date: 04-25-2025, Home Team: Dbacks, Away Team: Braves, Section: 326, Row: 3, Price: $41, Est. Price: $65.60, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-4-25-2025/event/154654660/?quantity=2&listingId=9108733628
Date: 04-25-2025, Home Team: Dbacks, Away Team: Braves, Section: 105, Row: 26, Price: $41, Est. Price: $65.60, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-4-25-2025/event/154654660/?quantity=2&listingId=9093005520
Date: 04-25-2025, Home Team: Dbacks, Away Team: Braves, Section: 307, Row: 1, Price: $42, Est. Price: $67.20, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-4-25-2025/event/154654660/?quantity=2&listingId=9108733097
Date: 04-25-2025, Home Team: Dbacks, Away Team: Braves, Section: 324, Row: 1, Price: $42, Est. Price: $67.20, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-4-25-2025/event/154654660/?quantity=2&listingId=9108733620
Date: 04-25-2025, Home Team: Dbacks, Away Team: Braves, Section: 103, Row: 17, Price: $42, Est. Price: $67.20, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-4-25-2025/event/154654660/?quantity=2&listingId=9094289634
Date: 04-25-2025, Home Team: Dbacks, Away Team: Braves, Section: 102, Row: 26, Price: $42, Est. Price: $67.20, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-4-25-2025/event/154654660/?quantity=2&listingId=9093005346
Date: 04-25-2025, Home Team: Dbacks, Away Team: Braves, Section: 107, Row: 29, Price: $42, Est. Price: $67.20, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-4-25-2025/event/154654660/?quantity=2&listingId=8936803370
Date: 04-25-2025, Home Team: Dbacks, Away Team: Braves, Section: 101, Row: 25, Price: $43, Est. Price: $68.80, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-4-25-2025/event/154654660/?quantity=2&listingId=9047726558
