Date: 05-30-2025, Home Team: Dbacks, Away Team: Nationals, Section: 313, Row: 32, Price: $52.00, Est. Price: $52.00, URL: https://gametime.co/mlb-baseball/nationals-at-diamondbacks-tickets/5-30-2025-phoenix-az-chase-field/events/66a1715b7a8b3ce2b5a976d3/listings/6764fbc4b98988f2db856f1c
Date: 05-30-2025, Home Team: Dbacks, Away Team: Nationals, Section: 108, Row: 21, Price: $52.00, Est. Price: $52.00, URL: https://gametime.co/mlb-baseball/nationals-at-diamondbacks-tickets/5-30-2025-phoenix-az-chase-field/events/66a1715b7a8b3ce2b5a976d3/listings/67896e355f5eedb9b54b35ca
Date: 05-30-2025, Home Team: Dbacks, Away Team: Nationals, Section: 143, Row: 11, Price: $52.00, Est. Price: $52.00, URL: https://gametime.co/mlb-baseball/nationals-at-diamondbacks-tickets/5-30-2025-phoenix-az-chase-field/events/66a1715b7a8b3ce2b5a976d3/listings/67eb6c51d4811782d32f321d
Date: 05-30-2025, Home Team: Dbacks, Away Team: Nationals, Section: 320, Row: 12, Price: $53.00, Est. Price: $53.00, URL: https://gametime.co/mlb-baseball/nationals-at-diamondbacks-tickets/5-30-2025-phoenix-az-chase-field/events/66a1715b7a8b3ce2b5a976d3/listings/67e3203ad4811782d3325429
Date: 05-30-2025, Home Team: Dbacks, Away Team: Nationals, Section: 316, Row: 15, Price: $53.00, Est. Price: $53.00, URL: https://gametime.co/mlb-baseball/nationals-at-diamondbacks-tickets/5-30-2025-phoenix-az-chase-field/events/66a1715b7a8b3ce2b5a976d3/listings/67e3203fd4811782d332f3e7
Date: 05-30-2025, Home Team: Dbacks, Away Team: Nationals, Section: 317, Row: 12, Price: $53.00, Est. Price: $53.00, URL: https://gametime.co/mlb-baseball/nationals-at-diamondbacks-tickets/5-30-2025-phoenix-az-chase-field/events/66a1715b7a8b3ce2b5a976d3/listings/67e32053d4811782d335c97a
Date: 05-30-2025, Home Team: Dbacks, Away Team: Nationals, Section: 322, Row: 11, Price: $53.00, Est. Price: $53.00, URL: https://gametime.co/mlb-baseball/nationals-at-diamondbacks-tickets/5-30-2025-phoenix-az-chase-field/events/66a1715b7a8b3ce2b5a976d3/listings/67ef20490b271341d1ee86c6
Date: 05-30-2025, Home Team: Dbacks, Away Team: Nationals, Section: 321, Row: 2, Price: $55.00, Est. Price: $55.00, URL: https://gametime.co/mlb-baseball/nationals-at-diamondbacks-tickets/5-30-2025-phoenix-az-chase-field/events/66a1715b7a8b3ce2b5a976d3/listings/670ea140f0923f9bcda208bb
Date: 05-30-2025, Home Team: Dbacks, Away Team: Nationals, Section: 111, Row: 6, Price: $55.00, Est. Price: $55.00, URL: https://gametime.co/mlb-baseball/nationals-at-diamondbacks-tickets/5-30-2025-phoenix-az-chase-field/events/66a1715b7a8b3ce2b5a976d3/listings/677b24cfb98988f2db0181b7
Date: 05-30-2025, Home Team: Dbacks, Away Team: Nationals, Section: 106, Row: 29, Price: $56.00, Est. Price: $56.00, URL: https://gametime.co/mlb-baseball/nationals-at-diamondbacks-tickets/5-30-2025-phoenix-az-chase-field/events/66a1715b7a8b3ce2b5a976d3/listings/67e3202bd4811782d330f469
Date: 05-30-2025, Home Team: Dbacks, Away Team: Nationals, Section: 143, Row: 16, Price: $56.00, Est. Price: $56.00, URL: https://gametime.co/mlb-baseball/nationals-at-diamondbacks-tickets/5-30-2025-phoenix-az-chase-field/events/66a1715b7a8b3ce2b5a976d3/listings/67e32036d4811782d33201d9
Date: 05-30-2025, Home Team: Dbacks, Away Team: Nationals, Section: 144, Row: 15, Price: $56.00, Est. Price: $56.00, URL: https://gametime.co/mlb-baseball/nationals-at-diamondbacks-tickets/5-30-2025-phoenix-az-chase-field/events/66a1715b7a8b3ce2b5a976d3/listings/67e3203bd4811782d33275b4
Date: 05-30-2025, Home Team: Dbacks, Away Team: Nationals, Section: 136, Row: 29, Price: $56.00, Est. Price: $56.00, URL: https://gametime.co/mlb-baseball/nationals-at-diamondbacks-tickets/5-30-2025-phoenix-az-chase-field/events/66a1715b7a8b3ce2b5a976d3/listings/67e3204bd4811782d334b91f
Date: 05-30-2025, Home Team: Dbacks, Away Team: Nationals, Section: 142, Row: 22, Price: $56.00, Est. Price: $56.00, URL: https://gametime.co/mlb-baseball/nationals-at-diamondbacks-tickets/5-30-2025-phoenix-az-chase-field/events/66a1715b7a8b3ce2b5a976d3/listings/67e3204bd4811782d334c68b
Date: 05-30-2025, Home Team: Dbacks, Away Team: Nationals, Section: 139, Row: 19, Price: $56.00, Est. Price: $56.00, URL: https://gametime.co/mlb-baseball/nationals-at-diamondbacks-tickets/5-30-2025-phoenix-az-chase-field/events/66a1715b7a8b3ce2b5a976d3/listings/67e32051d4811782d33574db
Date: 05-30-2025, Home Team: Dbacks, Away Team: Nationals, Section: 111, Row: 34, Price: $56.00, Est. Price: $56.00, URL: https://gametime.co/mlb-baseball/nationals-at-diamondbacks-tickets/5-30-2025-phoenix-az-chase-field/events/66a1715b7a8b3ce2b5a976d3/listings/67e40936d4811782d307bfcc
Date: 05-30-2025, Home Team: Dbacks, Away Team: Nationals, Section: 138, Row: 30, Price: $56.00, Est. Price: $56.00, URL: https://gametime.co/mlb-baseball/nationals-at-diamondbacks-tickets/5-30-2025-phoenix-az-chase-field/events/66a1715b7a8b3ce2b5a976d3/listings/67ecc7a9d4811782d3e12aaf
Date: 05-30-2025, Home Team: Dbacks, Away Team: Nationals, Section: 111, Row: 14, Price: $57.00, Est. Price: $57.00, URL: https://gametime.co/mlb-baseball/nationals-at-diamondbacks-tickets/5-30-2025-phoenix-az-chase-field/events/66a1715b7a8b3ce2b5a976d3/listings/670ea140f0923f9bcda20816
Date: 05-30-2025, Home Team: Dbacks, Away Team: Nationals, Section: 315, Row: 1, Price: $57.00, Est. Price: $57.00, URL: https://gametime.co/mlb-baseball/nationals-at-diamondbacks-tickets/5-30-2025-phoenix-az-chase-field/events/66a1715b7a8b3ce2b5a976d3/listings/670ea150f0923f9bcda36cdf
Date: 05-30-2025, Home Team: Dbacks, Away Team: Nationals, Section: 314, Row: 1, Price: $57.00, Est. Price: $57.00, URL: https://gametime.co/mlb-baseball/nationals-at-diamondbacks-tickets/5-30-2025-phoenix-az-chase-field/events/66a1715b7a8b3ce2b5a976d3/listings/67896e345f5eedb9b54afc99
Date: 05-30-2025, Home Team: Dbacks, Away Team: Nationals, Section: 134, Row: 3, Price: $57.00, Est. Price: $57.00, URL: https://gametime.co/mlb-baseball/nationals-at-diamondbacks-tickets/5-30-2025-phoenix-az-chase-field/events/66a1715b7a8b3ce2b5a976d3/listings/67b4c3602f94efc810ae8ae9
