Date: 06-13-2025, Home Team: Dbacks, Away Team: Padres, Section: 319, Row: 19, Price: $41, Est. Price: $65.60, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-6-13-2025/event/154663336/?quantity=2&listingId=8937129008
Date: 06-13-2025, Home Team: Dbacks, Away Team: Padres, Section: 137, Row: 35, Price: $41, Est. Price: $65.60, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-6-13-2025/event/154663336/?quantity=2&listingId=8937128825
Date: 06-13-2025, Home Team: Dbacks, Away Team: Padres, Section: 323, Row: 10, Price: $41, Est. Price: $65.60, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-6-13-2025/event/154663336/?quantity=2&listingId=8907885904
Date: 06-13-2025, Home Team: Dbacks, Away Team: Padres, Section: 323, Row: 11, Price: $41, Est. Price: $65.60, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-6-13-2025/event/154663336/?quantity=2&listingId=8907885910
Date: 06-13-2025, Home Team: Dbacks, Away Team: Padres, Section: 323, Row: 12, Price: $41, Est. Price: $65.60, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-6-13-2025/event/154663336/?quantity=2&listingId=8907885913
Date: 06-13-2025, Home Team: Dbacks, Away Team: Padres, Section: 323, Row: 13, Price: $41, Est. Price: $65.60, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-6-13-2025/event/154663336/?quantity=2&listingId=8907885920
Date: 06-13-2025, Home Team: Dbacks, Away Team: Padres, Section: 323, Row: 14, Price: $41, Est. Price: $65.60, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-6-13-2025/event/154663336/?quantity=2&listingId=8907885922
Date: 06-13-2025, Home Team: Dbacks, Away Team: Padres, Section: 323, Row: 15, Price: $41, Est. Price: $65.60, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-6-13-2025/event/154663336/?quantity=2&listingId=8907885925
Date: 06-13-2025, Home Team: Dbacks, Away Team: Padres, Section: 323, Row: 16, Price: $41, Est. Price: $65.60, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-6-13-2025/event/154663336/?quantity=2&listingId=8907885929
Date: 06-13-2025, Home Team: Dbacks, Away Team: Padres, Section: 323, Row: 17, Price: $41, Est. Price: $65.60, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-6-13-2025/event/154663336/?quantity=2&listingId=8907885931
Date: 06-13-2025, Home Team: Dbacks, Away Team: Padres, Section: 139, Row: 34, Price: $41, Est. Price: $65.60, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-6-13-2025/event/154663336/?quantity=2&listingId=8937128910
