Date: 05-07-2025, Home Team: Dbacks, Away Team: Mets, Section: 316, Row: 13, Price: $47.00, Est. Price: $47.00, URL: https://gametime.co/mlb-baseball/mets-at-diamondbacks-tickets/5-7-2025-phoenix-az-chase-field/events/66a1710bf43fc3fc6ee1a5d8/listings/67e32052d4811782d335a5b8
Date: 05-07-2025, Home Team: Dbacks, Away Team: Mets, Section: 322, Row: 10, Price: $47.00, Est. Price: $47.00, URL: https://gametime.co/mlb-baseball/mets-at-diamondbacks-tickets/5-7-2025-phoenix-az-chase-field/events/66a1710bf43fc3fc6ee1a5d8/listings/67e32054d4811782d335ea12
Date: 05-07-2025, Home Team: Dbacks, Away Team: Mets, Section: 311, Row: 1, Price: $48.00, Est. Price: $48.00, URL: https://gametime.co/mlb-baseball/mets-at-diamondbacks-tickets/5-7-2025-phoenix-az-chase-field/events/66a1710bf43fc3fc6ee1a5d8/listings/670ea10bf0923f9bcd9cf946
Date: 05-07-2025, Home Team: Dbacks, Away Team: Mets, Section: 313, Row: 1, Price: $48.00, Est. Price: $48.00, URL: https://gametime.co/mlb-baseball/mets-at-diamondbacks-tickets/5-7-2025-phoenix-az-chase-field/events/66a1710bf43fc3fc6ee1a5d8/listings/67e710c0d4811782d384d85f
Date: 05-07-2025, Home Team: Dbacks, Away Team: Mets, Section: 111, Row: 14, Price: $50.00, Est. Price: $50.00, URL: https://gametime.co/mlb-baseball/mets-at-diamondbacks-tickets/5-7-2025-phoenix-az-chase-field/events/66a1710bf43fc3fc6ee1a5d8/listings/670ea106f0923f9bcd9cb567
Date: 05-07-2025, Home Team: Dbacks, Away Team: Mets, Section: 110, Row: 7, Price: $50.00, Est. Price: $50.00, URL: https://gametime.co/mlb-baseball/mets-at-diamondbacks-tickets/5-7-2025-phoenix-az-chase-field/events/66a1710bf43fc3fc6ee1a5d8/listings/67d0bd40dec8018c761db733
Date: 05-07-2025, Home Team: Dbacks, Away Team: Mets, Section: 138, Row: 30, Price: $50.00, Est. Price: $50.00, URL: https://gametime.co/mlb-baseball/mets-at-diamondbacks-tickets/5-7-2025-phoenix-az-chase-field/events/66a1710bf43fc3fc6ee1a5d8/listings/67e32029d4811782d330cd7b
Date: 05-07-2025, Home Team: Dbacks, Away Team: Mets, Section: 136, Row: 29, Price: $50.00, Est. Price: $50.00, URL: https://gametime.co/mlb-baseball/mets-at-diamondbacks-tickets/5-7-2025-phoenix-az-chase-field/events/66a1710bf43fc3fc6ee1a5d8/listings/67e3202bd4811782d330f911
Date: 05-07-2025, Home Team: Dbacks, Away Team: Mets, Section: 144, Row: 13, Price: $50.00, Est. Price: $50.00, URL: https://gametime.co/mlb-baseball/mets-at-diamondbacks-tickets/5-7-2025-phoenix-az-chase-field/events/66a1710bf43fc3fc6ee1a5d8/listings/67e32030d4811782d3317d4a
Date: 05-07-2025, Home Team: Dbacks, Away Team: Mets, Section: 142, Row: 20, Price: $50.00, Est. Price: $50.00, URL: https://gametime.co/mlb-baseball/mets-at-diamondbacks-tickets/5-7-2025-phoenix-az-chase-field/events/66a1710bf43fc3fc6ee1a5d8/listings/67e3203dd4811782d332c08b
Date: 05-07-2025, Home Team: Dbacks, Away Team: Mets, Section: 108, Row: 31, Price: $50.00, Est. Price: $50.00, URL: https://gametime.co/mlb-baseball/mets-at-diamondbacks-tickets/5-7-2025-phoenix-az-chase-field/events/66a1710bf43fc3fc6ee1a5d8/listings/67e32045d4811782d333eef8
Date: 05-07-2025, Home Team: Dbacks, Away Team: Mets, Section: 106, Row: 28, Price: $50.00, Est. Price: $50.00, URL: https://gametime.co/mlb-baseball/mets-at-diamondbacks-tickets/5-7-2025-phoenix-az-chase-field/events/66a1710bf43fc3fc6ee1a5d8/listings/67e32057d4811782d33626c9
