Date: 06-29-2025, Home Team: Dbacks, Away Team: Marlins, Section: 102, Row: 17, Price: $30, Est. Price: $48.00, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-6-29-2025/event/154663526/?quantity=2&listingId=8936802793
Date: 06-29-2025, Home Team: Dbacks, Away Team: Marlins, Section: 137, Row: 29, Price: $30, Est. Price: $48.00, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-6-29-2025/event/154663526/?quantity=2&listingId=8937493233
Date: 06-29-2025, Home Team: Dbacks, Away Team: Marlins, Section: 313, Row: 1, Price: $31, Est. Price: $49.60, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-6-29-2025/event/154663526/?quantity=2&listingId=8725248026
Date: 06-29-2025, Home Team: Dbacks, Away Team: Marlins, Section: 140, Row: 11, Price: $31, Est. Price: $49.60, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-6-29-2025/event/154663526/?quantity=2&listingId=9032448793
Date: 06-29-2025, Home Team: Dbacks, Away Team: Marlins, Section: 111, Row: 7, Price: $31, Est. Price: $49.60, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-6-29-2025/event/154663526/?quantity=2&listingId=8533642383
Date: 06-29-2025, Home Team: Dbacks, Away Team: Marlins, Section: 102, Row: 15, Price: $31, Est. Price: $49.60, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-6-29-2025/event/154663526/?quantity=2&listingId=8936886205
Date: 06-29-2025, Home Team: Dbacks, Away Team: Marlins, Section: 108, Row: 28, Price: $31, Est. Price: $49.60, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-6-29-2025/event/154663526/?quantity=2&listingId=8936884825
Date: 06-29-2025, Home Team: Dbacks, Away Team: Marlins, Section: 107, Row: 26, Price: $31, Est. Price: $49.60, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-6-29-2025/event/154663526/?quantity=2&listingId=8936884765
Date: 06-29-2025, Home Team: Dbacks, Away Team: Marlins, Section: 323, Row: 10, Price: $31, Est. Price: $49.60, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-6-29-2025/event/154663526/?quantity=2&listingId=8916274035
Date: 06-29-2025, Home Team: Dbacks, Away Team: Marlins, Section: 323, Row: 11, Price: $31, Est. Price: $49.60, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-6-29-2025/event/154663526/?quantity=2&listingId=8916274040
Date: 06-29-2025, Home Team: Dbacks, Away Team: Marlins, Section: 323, Row: 12, Price: $31, Est. Price: $49.60, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-6-29-2025/event/154663526/?quantity=2&listingId=8916274045
Date: 06-29-2025, Home Team: Dbacks, Away Team: Marlins, Section: 323, Row: 13, Price: $31, Est. Price: $49.60, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-6-29-2025/event/154663526/?quantity=2&listingId=8916274047
Date: 06-29-2025, Home Team: Dbacks, Away Team: Marlins, Section: 323, Row: 14, Price: $31, Est. Price: $49.60, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-6-29-2025/event/154663526/?quantity=2&listingId=8916274051
Date: 06-29-2025, Home Team: Dbacks, Away Team: Marlins, Section: 326, Row: 10, Price: $31, Est. Price: $49.60, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-6-29-2025/event/154663526/?quantity=2&listingId=8916274262
Date: 06-29-2025, Home Team: Dbacks, Away Team: Marlins, Section: 326, Row: 11, Price: $31, Est. Price: $49.60, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-6-29-2025/event/154663526/?quantity=2&listingId=8916274266
