Date: 07-06-2025, Home Team: Dbacks, Away Team: Royals, Section: 112, Row: 9, Price: $35, Est. Price: $56.00, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-7-6-2025/event/154663795/?quantity=2&listingId=8533789855
Date: 07-06-2025, Home Team: Dbacks, Away Team: Royals, Section: 133, Row: 3, Price: $36, Est. Price: $57.60, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-7-6-2025/event/154663795/?quantity=2&listingId=8024663380
Date: 07-06-2025, Home Team: Dbacks, Away Team: Royals, Section: 322, Row: 10, Price: $36, Est. Price: $57.60, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-7-6-2025/event/154663795/?quantity=2&listingId=8846641021
Date: 07-06-2025, Home Team: Dbacks, Away Team: Royals, Section: 319, Row: 11, Price: $36, Est. Price: $57.60, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-7-6-2025/event/154663795/?quantity=2&listingId=8829793196
Date: 07-06-2025, Home Team: Dbacks, Away Team: Royals, Section: 315, Row: 11, Price: $36, Est. Price: $57.60, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-7-6-2025/event/154663795/?quantity=2&listingId=8829823398
Date: 07-06-2025, Home Team: Dbacks, Away Team: Royals, Section: 317, Row: 11, Price: $36, Est. Price: $57.60, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-7-6-2025/event/154663795/?quantity=2&listingId=8829614962
Date: 07-06-2025, Home Team: Dbacks, Away Team: Royals, Section: 311, Row: 1, Price: $37, Est. Price: $59.20, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-7-6-2025/event/154663795/?quantity=2&listingId=8936882740
Date: 07-06-2025, Home Team: Dbacks, Away Team: Royals, Section: 112, Row: 7, Price: $37, Est. Price: $59.20, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-7-6-2025/event/154663795/?quantity=2&listingId=8533789592
Date: 07-06-2025, Home Team: Dbacks, Away Team: Royals, Section: 205, Row: 2, Price: $37, Est. Price: $59.20, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-7-6-2025/event/154663795/?quantity=2&listingId=9034271915
Date: 07-06-2025, Home Team: Dbacks, Away Team: Royals, Section: 110, Row: 8, Price: $37, Est. Price: $59.20, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-7-6-2025/event/154663795/?quantity=2&listingId=9034268847
Date: 07-06-2025, Home Team: Dbacks, Away Team: Royals, Section: 135, Row: 11, Price: $37, Est. Price: $59.20, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-7-6-2025/event/154663795/?quantity=2&listingId=9059552697
